"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,20,"binary","binary",1,3,0,0,0,0,1,FALSE,-0.001,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.064,0,0.033,0.001,0.033,0.001,0.033,0.001,0.992,0.992,0.992,0.989,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.037,-0.002,0.017,-0.002,0.017,-0.002,0.017,-0.002,0.989,1,0.992,0.99,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.029,-0.003,0.016,-0.004,0.016,-0.004,0.016,-0.004,0.996,0.978,0.993,0.992,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.016,0,0.007,0,0.007,0,0.007,0,0.999,0.997,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.015,0.004,0.009,0.004,0.009,0.004,0.009,0.004,1,0.742,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.009,0.002,0.004,0.001,0.004,0.002,0.004,0.002,1,0.846,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.001,0.002,0.001,0.002,0,0.002,0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.001,-0.004,0.001,-0.004,0.001,-0.005,0.001,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.002,0.009,0.002,0.009,0.002,0.009,0.002,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,0,0,0,1,FALSE,0,0.001,0,0.001,0,0.001,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.454,-0.488,-0.479,-0.497,-0.479,-0.497,-0.479,-0.497,0.989,0.929,0.992,0.991,1,1,1,1,1,1,1,1,1,1,1
