"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,20,"continuous","binary",1,1,0,1,1.5,0,0,1,TRUE,0.001,0.009,0.023,0.009,0.014,-0.69,0.004,0.014,0.004,0.01,-0.69,0.004,0.015,0.004,0.011,-0.69,0.004,0.014,0.004,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1,1.5,0,0,1,TRUE,-0.006,0.002,0.006,0.002,0.005,-0.696,-0.001,0.001,-0.001,0.003,-0.693,-0.001,0.002,-0.001,0.003,-0.7,-0.001,0.001,-0.001,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.013,0.011,-0.016,0.011,-0.027,0.013,0.01,-0.016,0.01,-0.026,0.013,0.011,-0.016,0.011,-0.027,0.011,0.012,-0.016,0.012,-0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,-0.013,-0.011,-0.017,-0.011,-0.005,-0.013,-0.011,-0.017,-0.011,-0.006,-0.016,-0.011,-0.017,-0.011,-0.006,-0.012,-0.011,-0.017,-0.011,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.001,0.001,-0.023,0.001,-0.024,0.001,0,-0.023,0,-0.024,0.004,0,-0.023,0,-0.024,0.001,0,-0.023,0,-0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,0,0,-0.013,0,-0.013,0,0.001,-0.013,0.001,-0.013,-0.001,0.001,-0.013,0.001,-0.013,-0.002,0,-0.013,0,-0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.003,-0.001,0.003,-0.001,0.005,0.003,-0.001,0.003,-0.001,0.005,0.001,-0.002,0.004,-0.002,0.005,-0.008,-0.001,0.003,-0.001,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,-0.002,-0.001,-0.003,-0.001,-0.001,-0.002,-0.001,-0.003,-0.001,-0.002,-0.005,-0.002,-0.003,-0.002,-0.001,0.006,-0.001,-0.003,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.003,0.002,0.005,0.002,0.002,0.003,0.002,0.005,0.002,0.002,0.002,0.002,0.005,0.002,0.002,-0.001,0.002,0.005,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,-0.001,-0.002,0,-0.002,0.001,-0.001,-0.002,0,-0.002,0.001,0,-0.002,0,-0.002,0.001,0.006,-0.001,0,-0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.094,0.04,0.031,0.04,-0.009,-0.109,0.021,0.009,0.021,-0.013,-0.112,0.021,0.009,0.021,-0.012,-0.102,0.026,0.008,0.026,-0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.058,-0.003,0.051,-0.003,0.054,-0.142,-0.015,0.03,-0.015,0.046,-0.141,-0.013,0.031,-0.013,0.043,-0.135,-0.013,0.031,-0.013,0.043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.053,0.012,-0.032,0.012,-0.044,-0.13,0.009,-0.039,0.009,-0.048,-0.126,0.009,-0.039,0.009,-0.048,-0.119,0.008,-0.039,0.008,-0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.039,-0.004,-0.009,-0.004,-0.005,-0.147,-0.007,-0.014,-0.007,-0.007,-0.138,-0.007,-0.014,-0.007,-0.007,-0.137,-0.007,-0.014,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.108,0.159,0.208,0.159,0.049,-1.171,0.121,0.15,0.121,0.029,-1.172,0.113,0.141,0.113,0.027,-1.175,0.112,0.138,0.112,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.213,0.063,0.076,0.063,0.014,-1.187,0.038,0.037,0.038,-0.001,-1.185,0.037,0.036,0.037,-0.001,-1.193,0.037,0.036,0.037,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.034,0.027,0.027,0.027,0,-1.183,0.021,0.017,0.021,-0.004,58029031118898.9,0.02,0.017,0.02,-0.003,-1.183,0.021,0.017,0.021,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.048,0.012,0.032,0.012,0.02,-1.188,0.006,0.021,0.006,0.015,29815851734895.5,0.006,0.021,0.006,0.015,-1.187,0.006,0.021,0.006,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.003,-0.002,0.042,-0.002,0.044,0.003,-0.002,0.042,-0.002,0.044,-0.005,-0.002,0.042,-0.002,0.044,0.008,-0.001,0.042,-0.001,0.043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.002,-0.006,0.01,-0.006,0.015,0.002,-0.006,0.01,-0.006,0.016,0.014,-0.006,0.01,-0.006,0.016,0,-0.006,0.01,-0.006,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.003,0.004,-0.006,0.004,-0.01,0.003,0.004,-0.006,0.004,-0.01,0.002,0.004,-0.006,0.004,-0.01,0.007,0.004,-0.006,0.004,-0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.007,0.004,-0.01,0.004,-0.015,0.007,0.004,-0.01,0.004,-0.015,0.007,0.004,-0.01,0.004,-0.015,0.006,0.004,-0.01,0.004,-0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,TRUE,-0.004,-0.003,-0.002,-0.003,0.002,-0.004,-0.004,-0.002,-0.004,0.002,-0.005,-0.004,-0.002,-0.004,0.002,0.011,-0.003,-0.002,-0.003,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.003,0.003,0.001,0.003,-0.003,0.003,0.003,0.001,0.003,-0.002,0.001,0.004,0.001,0.004,-0.003,0,0.003,0.001,0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,TRUE,0,0,0,0,0.001,0,0,0,0,0.001,-0.001,0,0,0,0.001,0.01,0,0,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,TRUE,-0.002,-0.001,-0.001,-0.001,0,-0.002,-0.001,-0.001,-0.001,0,-0.002,-0.001,-0.001,-0.001,0,0.026,-0.001,-0.001,-0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,0,0,0,1.5,1,0,1,TRUE,-0.003,-0.003,NA,-0.003,NA,-0.226,NA,NA,NA,NA,-0.226,NA,NA,NA,NA,-0.232,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","binary",1,0,0,0,1.5,1,0,1,TRUE,0.015,0.015,NA,0.015,NA,-0.222,NA,NA,NA,NA,-0.219,NA,NA,NA,NA,-0.219,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","binary",1,0,0,0,1.5,1,0,1,TRUE,0.005,0.005,NA,0.005,NA,-0.236,NA,NA,NA,NA,-0.24,NA,NA,NA,NA,-0.242,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","binary",1,0,0,0,1.5,1,0,1,TRUE,-0.002,-0.002,NA,-0.002,NA,-0.244,NA,NA,NA,NA,-0.246,NA,NA,NA,NA,-0.245,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","binary",1,0,0,0,1.5,1,0,1,TRUE,0.015,0.015,NA,0.015,NA,-0.222,NA,NA,NA,NA,-0.22,NA,NA,NA,NA,-0.22,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","binary",1,0,0,0,1.5,1,0,1,TRUE,-0.03,-0.03,NA,-0.03,NA,-0.232,NA,NA,NA,NA,-0.234,NA,NA,NA,NA,-0.233,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","binary",1,0,0,0,1.5,1,0,1,TRUE,0.007,0.007,NA,0.007,NA,-0.218,NA,NA,NA,NA,-0.221,NA,NA,NA,NA,-0.22,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
