"N_total","T_total","predictor.type","outcome.type","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.independence2_g.10_bias","g.ar12_g.10_bias","g.independence3_g.10_bias","g.ar13_g.10_bias","g.independence4_g.10_bias","g.ar14_g.10_bias"
200,5,"binary","continuous",0,1.5,1,0,1,TRUE,-0.003,-0.003,-0.003,0.002,-0.005,NA,NA,NA,NA
100,20,"binary","continuous",0,1.5,1,0,1,TRUE,-0.007,-0.007,-0.007,-0.003,-0.008,NA,NA,NA,NA
200,20,"binary","continuous",0,1.5,1,0,1,TRUE,0.003,0.003,0.003,0.001,0.007,NA,NA,NA,NA
100,5,"continuous","continuous",0,1.5,1,0,1,TRUE,-0.004,-0.004,-0.004,-0.006,-0.005,NA,NA,NA,NA
200,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0,0,0,0.002,0.001,NA,NA,NA,NA
100,20,"continuous","continuous",0,1.5,1,0,1,TRUE,-0.001,-0.001,-0.001,-0.005,0.001,NA,NA,NA,NA
200,20,"continuous","continuous",0,1.5,1,0,1,TRUE,0.001,0.001,0.001,0.001,-0.001,NA,NA,NA,NA
100,5,"binary","binary",0,1.5,1,0,1,TRUE,0.026,0.004,0.004,-0.204,-0.223,-0.21,-0.222,-0.21,-0.222
200,5,"binary","binary",0,1.5,1,0,1,TRUE,0.027,0.008,0.008,-0.214,-0.212,-0.22,-0.216,-0.22,-0.216
100,20,"binary","binary",0,1.5,1,0,1,TRUE,0.024,0.016,0.016,-0.218,-0.229,-0.226,-0.229,-0.226,-0.229
200,20,"binary","binary",0,1.5,1,0,1,TRUE,0.009,0.003,0.003,-0.23,-0.236,-0.237,-0.238,-0.237,-0.238
100,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.018,-0.015,-0.015,-0.504,-0.507,-0.215,-0.219,-0.215,-0.219
200,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.021,-0.022,-0.022,-0.516,-0.514,-0.231,-0.232,-0.231,-0.232
100,20,"continuous","binary",0,1.5,1,0,1,TRUE,0.012,0.011,0.011,-0.493,-0.5,-0.205,-0.208,-0.205,-0.208
200,20,"continuous","binary",0,1.5,1,0,1,TRUE,0.004,0.003,0.003,-0.503,-0.5,-0.215,-0.215,-0.215,-0.215
100,5,"binary","continuous",0,1.5,1,0,1,TRUE,0.018,0.018,0.018,0.026,0.011,0.023,0.011,0.023,0.011
200,5,"binary","continuous",0,1.5,1,0,1,TRUE,0.009,0.008,0.008,0.012,0.012,0.01,0.012,0.01,0.012
100,20,"binary","continuous",0,1.5,1,0,1,TRUE,-0.006,-0.006,-0.006,-0.012,-0.003,-0.01,-0.003,-0.01,-0.003
200,20,"binary","continuous",0,1.5,1,0,1,TRUE,-0.007,-0.007,-0.007,-0.01,-0.002,-0.01,-0.002,-0.01,-0.002
100,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0.001,0.002,0.002,0.013,0.005,0.009,0.005,0.009,0.005
200,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0,-0.001,-0.001,0.009,-0.003,-0.001,-0.003,-0.001,-0.003
100,20,"continuous","continuous",0,1.5,1,0,1,TRUE,-0.002,-0.002,-0.002,0,-0.003,0,-0.003,0,-0.003
200,20,"continuous","continuous",0,1.5,1,0,1,TRUE,0,0,0,-0.002,0.001,-0.001,0.001,-0.001,0.001
100,5,"binary","binary",0,1.5,1,0,1,TRUE,0.041,-0.018,-0.018,-0.219,-0.233,-0.237,-0.238,-0.237,-0.238
200,5,"binary","binary",0,1.5,1,0,1,TRUE,-0.005,-0.054,-0.055,-0.257,-0.269,-0.268,-0.27,-0.268,-0.27
100,20,"binary","binary",0,1.5,1,0,1,TRUE,0.043,0.021,0.021,-0.214,-0.227,-0.227,-0.224,-0.227,-0.224
200,20,"binary","binary",0,1.5,1,0,1,TRUE,0.032,0.011,0.011,-0.22,-0.228,-0.235,-0.23,-0.235,-0.23
100,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.068,0.045,0.045,-1.002,-1.005,-0.152,-0.151,-0.152,-0.151
200,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.114,-0.013,-0.013,-1.027,-1.017,-0.194,-0.196,-0.194,-0.196
100,20,"continuous","binary",0,1.5,1,0,1,TRUE,-0.01,0.005,0.005,-1.002,91819373728179.5,-0.196,-0.198,-0.196,-0.198
200,20,"continuous","binary",0,1.5,1,0,1,TRUE,-0.016,0,0,-1.004,74674261425581.7,-0.194,-0.194,-0.194,-0.194
100,5,"binary","continuous",0,1.5,1,0,1,TRUE,0.009,0.009,0.009,0.014,0.008,0.015,0.008,0.015,0.008
200,5,"binary","continuous",0,1.5,1,0,1,TRUE,0.002,0.002,0.002,-0.003,0.009,-0.002,0.009,-0.002,0.009
100,20,"binary","continuous",0,1.5,1,0,1,TRUE,-0.002,-0.002,-0.002,-0.003,-0.002,-0.005,-0.002,-0.005,-0.002
200,20,"binary","continuous",0,1.5,1,0,1,TRUE,0.008,0.008,0.008,0.007,0.01,0.007,0.01,0.007,0.01
100,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0,0.002,0.002,-0.016,0.001,0.008,0.002,0.008,0.002
200,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0.004,0.004,0.004,-0.016,0.003,0.004,0.003,0.004,0.003
100,20,"continuous","continuous",0,1.5,1,0,1,TRUE,0.003,0.003,0.003,-0.004,0.004,0.003,0.004,0.003,0.004
200,20,"continuous","continuous",0,1.5,1,0,1,TRUE,0,0,0,-0.003,-0.001,0,-0.001,0,-0.001
100,5,"binary","binary",0,1.5,1,0,1,TRUE,0.005,-0.011,-0.011,-0.258,-0.269,-0.224,-0.232,-0.224,-0.232
200,5,"binary","binary",0,1.5,1,0,1,TRUE,0.024,0.004,0.004,-0.236,-0.226,-0.208,-0.196,-0.208,-0.196
100,20,"binary","binary",0,1.5,1,0,1,TRUE,-0.001,-0.009,-0.009,-0.257,-0.257,-0.236,-0.229,-0.236,-0.229
200,20,"binary","binary",0,1.5,1,0,1,TRUE,0.004,-0.003,-0.003,-0.246,-0.253,-0.221,-0.222,-0.221,-0.222
100,5,"continuous","binary",0,1.5,1,0,1,TRUE,0.023,0.047,0.047,-0.726,-0.721,-0.166,-0.169,-0.166,-0.169
200,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.004,0.014,0.014,-0.747,-0.739,-0.192,-0.194,-0.192,-0.194
100,20,"continuous","binary",0,1.5,1,0,1,TRUE,-0.009,-0.005,-0.005,-0.74,-0.741,-0.209,-0.212,-0.209,-0.212
200,20,"continuous","binary",0,1.5,1,0,1,TRUE,-0.003,-0.002,-0.002,-0.732,-0.73,-0.205,-0.206,-0.205,-0.206
100,5,"binary","continuous",0,1.5,1,0,1,TRUE,-0.002,0,0,-0.005,0.005,0.002,0.006,0.002,0.006
200,5,"binary","continuous",0,1.5,1,0,1,TRUE,0,0,0,-0.002,-0.004,-0.001,-0.004,-0.001,-0.004
100,20,"binary","continuous",0,1.5,1,0,1,TRUE,-0.007,-0.007,-0.007,-0.006,-0.01,-0.008,-0.01,-0.008,-0.01
200,20,"binary","continuous",0,1.5,1,0,1,TRUE,-0.001,-0.001,-0.001,-0.002,0.001,-0.002,0.001,-0.002,0.001
100,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0.003,0.003,0.003,-0.013,0.004,-0.001,0.003,-0.001,0.003
200,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0.003,0.002,0.002,-0.006,0.003,-0.005,0.003,-0.005,0.003
100,20,"continuous","continuous",0,1.5,1,0,1,TRUE,0.003,0.003,0.003,0,0.003,0.003,0.003,0.003,0.003
200,20,"continuous","continuous",0,1.5,1,0,1,TRUE,-0.003,-0.003,-0.003,-0.005,-0.003,-0.006,-0.003,-0.006,-0.003
100,5,"binary","binary",0,1.5,1,0,1,TRUE,0.071,-0.011,-0.011,-0.291,-0.269,-0.227,-0.208,-0.227,-0.208
