"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias"
200,5,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.1,0.021,-0.011,0.021,-0.032,-0.002,0.007,-0.024,0.007,-0.031,-0.001,0.008,-0.024,0.008,-0.032,0.004,0.007,-0.024,0.007,-0.031
100,20,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.061,-0.002,-0.003,-0.002,-0.001,-0.012,-0.005,-0.006,-0.005,-0.001,0.004,-0.005,-0.006,-0.005,0,0.009,-0.005,-0.006,-0.005,-0.001
200,20,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.083,0.02,0.005,0.02,-0.016,0.007,0.017,0.002,0.017,-0.016,0.023,0.017,0.002,0.017,-0.015,0.028,0.017,0.002,0.017,-0.015
100,5,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.088,0.05,0.066,0.05,0.016,-1.005,0.022,0.037,0.022,0.015,-0.993,0.021,0.038,0.021,0.016,-1.006,0.022,0.037,0.022,0.016
200,5,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.095,0.019,0.025,0.019,0.006,-1.005,0.002,0.009,0.002,0.006,-1.004,0.003,0.009,0.003,0.006,-1.005,0.002,0.008,0.002,0.006
100,20,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.025,0,0.004,0,0.004,-0.992,-0.004,0,-0.004,0.005,160184617370718,-0.004,0,-0.004,0.005,-0.992,-0.004,0,-0.004,0.004
200,20,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.017,0.004,0.008,0.004,0.004,-1.004,-0.001,0.002,-0.001,0.003,43927894054346.8,-0.001,0.003,-0.001,0.004,-1.004,-0.001,0.003,-0.001,0.003
100,5,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.011,-0.011,0.007,-0.011,0.018,-0.011,-0.011,0.007,-0.011,0.018,-0.007,-0.01,0.007,-0.01,0.017,-0.011,-0.011,0.007,-0.011,0.018
200,5,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.009,0.009,0.005,0.009,-0.003,0.009,0.009,0.005,0.009,-0.003,0.001,0.009,0.006,0.009,-0.003,0.009,0.009,0.005,0.009,-0.003
100,20,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.006,0.006,0.002,0.006,-0.003,0.006,0.006,0.002,0.006,-0.003,0.005,0.006,0.002,0.006,-0.003,0.006,0.006,0.002,0.006,-0.003
200,20,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.009,0.009,0,0.009,-0.008,0.009,0.009,0,0.009,-0.008,0.007,0.009,0,0.009,-0.008,0.009,0.009,0,0.009,-0.008
