"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias"
200,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.01,0.015,0.015,-0.71,-0.027,-0.027,-0.706,-0.027,-0.027,-0.711,-0.028,-0.028
100,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.001,0.006,0.006,-0.695,-0.008,-0.008,-0.696,-0.008,-0.008,-0.695,-0.008,-0.008
200,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.006,-0.003,-0.003,-0.7,-0.014,-0.014,-0.699,-0.013,-0.013,-0.7,-0.013,-0.013
100,5,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.016,0.016,0.016
200,5,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.019,-0.015,-0.015,-0.015,-0.015,-0.015
100,20,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001
200,20,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
100,5,"continuous","continuous",1,1,0,1.5,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.002,0.002,0.003,0.003,0.003
200,5,"continuous","continuous",1,1,0,1.5,0,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.005,-0.003,-0.003,-0.003,-0.003,-0.003
100,20,"continuous","continuous",1,1,0,1.5,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.003,0.003
200,20,"continuous","continuous",1,1,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001
100,5,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.107,0.042,0.042,-0.101,0.026,0.026,-0.107,0.023,0.023,-0.107,0.026,0.026
200,5,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.065,0.006,0.006,-0.14,-0.006,-0.006,-0.141,-0.005,-0.005,-0.143,-0.006,-0.006
100,20,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.054,0.009,0.009,-0.128,0.004,0.004,-0.126,0.005,0.005,-0.12,0.004,0.004
200,20,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.042,-0.006,-0.006,-0.143,-0.009,-0.009,-0.134,-0.009,-0.009,-0.133,-0.009,-0.009
100,5,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.116,0.153,0.153,-1.172,0.073,0.073,-1.174,0.069,0.069,-1.172,0.068,0.068
200,5,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.22,0.04,0.04,-1.187,-0.011,-0.011,-1.187,-0.011,-0.011,-1.187,-0.011,-0.011
100,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.035,0.025,0.025,-1.183,0.011,0.011,61607967786716.8,0.011,0.011,-1.183,0.011,0.011
200,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.049,0.006,0.006,-1.188,-0.007,-0.007,33184450709583,-0.007,-0.007,-1.188,-0.007,-0.007
100,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,-0.006,0,0,0.001,0.001,0.001
200,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.016,0.003,0.003,0.003,0.003,0.003
100,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
200,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
100,5,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,-0.005,-0.004,-0.004,-0.004
200,5,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.002,0.002,0.003,0.003,0.003
100,20,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,-0.001,0,0,0,0,0
200,20,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
